date,source,station_id,tmp_avg_c,tmp_max_c,tmp_min_c,rh_avg_pct,sol_rad_avg_wm2,wind_spd_avg_ms,wind_max_ms,wind_run_km,precip_mm,eto_mm,tmp_avg_7d,tmp_avg_14d,tmp_max_7d,wind_spd_7d,wind_spd_14d,wind_run_7d,sol_rad_7d,sol_rad_14d,precip_7d,precip_14d,eto_7d,rh_avg_7d,calm_days_7d
2024-06-21,Open-Meteo (Clear Lake coords),OM-CL,25.4,35.4,15.2,55.0,359.26,1.972,3.806,170.38,0.0,7.1,21.0,22.4071,29.4714,2.3969,2.4404,1449.62,354.1671,350.4386,0.0,0.0,45.13,54.8571,2
2024-06-22,Open-Meteo (Clear Lake coords),OM-CL,28.5,38.0,19.4,48.0,356.94,1.778,3.806,153.62,0.0,7.32,22.3857,22.8286,31.1286,2.2143,2.3769,1339.2,353.6543,354.8693,0.0,0.0,46.25,53.4286,3
2024-06-23,Open-Meteo (Clear Lake coords),OM-CL,27.0,36.8,16.1,49.0,362.38,1.806,3.722,156.04,0.0,7.2,23.5857,23.1786,32.6857,1.9326,2.3254,1168.82,354.86,355.9521,0.0,0.0,47.02,52.2857,4
2024-06-24,Open-Meteo (Clear Lake coords),OM-CL,27.2,36.1,19.1,45.0,362.96,1.778,4.111,153.62,0.0,7.19,24.8,23.3357,33.9714,1.8533,2.3174,1120.87,354.0829,356.6464,0.0,0.0,47.96,51.2857,5
2024-06-25,Open-Meteo (Clear Lake coords),OM-CL,25.8,32.1,18.1,46.0,236.57,1.861,3.528,160.79,0.0,5.16,25.5857,23.2929,34.5,1.8334,2.2916,1108.86,338.0271,348.3457,0.0,0.0,46.69,50.0,6
2024-06-26,Open-Meteo (Clear Lake coords),OM-CL,22.9,30.2,16.8,53.0,357.75,3.278,5.222,283.22,0.0,7.0,25.7143,23.0714,34.3429,2.0716,2.3691,1252.89,338.0429,348.2957,0.0,0.0,47.3,50.2857,5
2024-06-27,Open-Meteo (Clear Lake coords),OM-CL,21.4,29.9,13.7,56.0,357.52,2.639,4.722,228.01,0.0,6.55,25.4571,22.9,34.0714,2.1589,2.383,1305.68,341.9114,348.1386,0.0,0.0,47.52,50.2857,5
2024-06-28,Open-Meteo (Clear Lake coords),OM-CL,24.3,33.7,14.6,57.0,355.67,1.889,4.25,163.21,0.0,6.79,25.3,23.15,33.8286,2.147,2.2719,1298.51,341.3986,347.7829,0.0,0.0,47.21,50.5714,5
2024-06-29,Open-Meteo (Clear Lake coords),OM-CL,25.2,33.2,16.2,54.0,344.91,2.889,6.306,249.61,0.0,7.38,24.8286,23.6071,33.1429,2.3057,2.26,1394.5,339.68,346.6671,0.0,0.0,47.27,51.4286,4
2024-06-30,Open-Meteo (Clear Lake coords),OM-CL,24.0,31.1,17.2,55.0,354.63,2.667,4.917,230.43,0.0,6.87,24.4,23.9929,32.3286,2.4287,2.1806,1468.89,338.5729,346.7164,0.0,0.0,46.94,52.2857,3
2024-07-01,Open-Meteo (Clear Lake coords),OM-CL,25.7,35.1,16.8,57.0,358.56,1.972,5.306,170.38,0.0,6.88,24.1857,24.4929,32.1857,2.4564,2.1549,1485.65,337.9443,346.0136,0.0,0.0,46.63,54.0,3
2024-07-02,Open-Meteo (Clear Lake coords),OM-CL,30.1,39.5,21.2,43.0,365.51,1.0,2.111,86.4,0.0,6.92,24.8,25.1929,33.2429,2.3334,2.0834,1411.26,356.3643,347.1957,0.0,0.0,48.39,53.5714,3
2024-07-03,Open-Meteo (Clear Lake coords),OM-CL,31.3,41.7,21.7,40.0,368.06,1.361,3.556,117.59,0.0,7.38,26.0,25.8571,34.8857,2.0596,2.0656,1245.63,357.8371,347.94,0.0,0.0,48.77,51.7143,4
2024-07-04,Open-Meteo (Clear Lake coords),OM-CL,31.7,41.0,22.7,44.0,360.88,1.75,4.611,151.2,0.0,7.64,27.4714,26.4643,36.4714,1.9326,2.0457,1168.82,358.3171,350.1143,0.0,0.0,49.86,50.0,5
2024-07-05,Open-Meteo (Clear Lake coords),OM-CL,31.4,43.4,21.0,50.0,359.38,1.5,5.222,129.6,0.0,7.25,28.4857,26.8929,37.8571,1.877,2.012,1135.21,358.8471,350.1229,0.0,0.0,50.32,49.0,5
2024-07-06,Open-Meteo (Clear Lake coords),OM-CL,33.0,44.4,22.6,48.0,356.71,1.722,4.722,148.78,0.0,7.74,29.6,27.2143,39.4571,1.7103,2.008,1034.38,360.5329,350.1064,0.0,0.0,50.68,48.1429,6
2024-07-07,Open-Meteo (Clear Lake coords),OM-CL,33.1,43.9,24.5,46.0,353.59,1.833,6.361,158.37,0.0,7.72,30.9,27.65,41.2857,1.5911,2.0099,962.32,360.3843,349.4786,0.0,0.0,51.53,46.8571,7
2024-07-08,Open-Meteo (Clear Lake coords),OM-CL,31.8,42.0,23.4,44.0,354.86,2.167,4.833,187.23,0.0,8.0,31.7714,27.9786,42.2714,1.619,2.0377,979.17,359.8557,348.9,0.0,0.0,52.65,45.0,6
2024-07-09,Open-Meteo (Clear Lake coords),OM-CL,30.1,40.0,21.1,51.0,352.78,1.917,4.694,165.63,0.0,7.51,31.7714,28.2857,42.3429,1.75,2.0417,1058.4,358.0371,357.2007,0.0,0.0,53.24,46.1429,6
2024-07-10,Open-Meteo (Clear Lake coords),OM-CL,31.7,42.0,22.3,48.0,353.47,1.583,4.917,136.77,0.0,7.36,31.8286,28.9143,42.3857,1.7817,1.9206,1077.58,355.9529,356.895,0.0,0.0,53.22,47.2857,6
2024-07-11,Open-Meteo (Clear Lake coords),OM-CL,32.6,41.8,24.4,46.0,354.28,1.472,3.111,127.18,0.0,7.29,31.9571,29.7143,42.5,1.742,1.8373,1053.56,355.01,356.6636,0.0,0.0,52.87,47.5714,6
2024-07-12,Open-Meteo (Clear Lake coords),OM-CL,33.7,41.9,24.9,36.0,350.81,1.444,3.417,124.76,0.0,7.35,32.2857,30.3857,42.2857,1.734,1.8055,1048.72,353.7857,356.3164,0.0,0.0,52.97,45.5714,6
2024-07-13,Open-Meteo (Clear Lake coords),OM-CL,32.0,41.9,23.9,49.0,318.87,1.611,4.75,139.19,0.0,6.84,32.1429,30.8714,41.9286,1.7181,1.7142,1039.13,348.38,354.4564,0.0,0.0,52.07,45.7143,6
2024-07-14,Open-Meteo (Clear Lake coords),OM-CL,29.1,38.0,21.8,46.0,344.91,1.694,3.667,146.36,0.0,6.96,31.5714,31.2357,41.0857,1.6983,1.6447,1027.12,347.14,353.7621,0.0,0.0,51.31,45.7143,6
2024-07-15,Open-Meteo (Clear Lake coords),OM-CL,27.6,36.5,20.6,53.0,344.44,1.944,3.528,167.96,0.0,6.85,30.9714,31.3714,40.3,1.6664,1.6427,1007.85,345.6514,352.7536,0.0,0.0,50.16,47.0,7
2024-07-16,Open-Meteo (Clear Lake coords),OM-CL,24.6,33.4,17.9,52.0,355.9,2.139,4.111,184.81,0.0,6.79,30.1857,30.9786,39.3571,1.6981,1.7241,1027.03,346.0971,352.0671,0.0,0.0,49.44,47.1429,6
2024-07-17,Open-Meteo (Clear Lake coords),OM-CL,23.7,33.1,14.8,57.0,346.53,2.222,3.694,191.98,0.0,6.66,29.0429,30.4357,38.0857,1.7894,1.7856,1082.24,345.1057,350.5293,0.0,0.0,48.74,48.4286,5
2024-07-18,Open-Meteo (Clear Lake coords),OM-CL,26.7,36.3,17.5,53.0,351.04,2.361,5.667,203.99,0.0,7.4,28.2,30.0786,37.3,1.9164,1.8292,1159.05,344.6429,349.8264,0.0,0.0,48.85,49.4286,4
2024-07-19,Open-Meteo (Clear Lake coords),OM-CL,28.0,37.7,18.6,48.0,348.5,2.639,5.306,228.01,0.0,7.75,27.3857,29.8357,36.7,2.0871,1.9106,1262.3,344.3129,349.0493,0.0,0.0,49.25,51.1429,3
2024-07-20,Open-Meteo (Clear Lake coords),OM-CL,26.9,36.7,19.2,55.0,339.24,2.806,5.111,242.44,0.0,7.3,26.6571,29.4,35.9571,2.2579,1.988,1365.55,347.2229,347.8014,0.0,0.0,49.71,52.0,2
2024-07-21,Open-Meteo (Clear Lake coords),OM-CL,25.9,36.3,16.6,58.0,343.4,2.611,5.167,225.59,0.0,6.98,26.2,28.8857,35.7143,2.3889,2.0436,1444.78,347.0071,347.0736,0.0,0.0,49.73,53.7143,1
2024-07-22,Open-Meteo (Clear Lake coords),OM-CL,30.1,40.0,20.1,50.0,338.19,1.611,4.611,139.19,0.0,7.1,26.5571,28.7643,36.2143,2.3413,2.0039,1416.01,346.1143,345.8829,0.0,0.0,49.98,53.2857,1
2024-07-23,Open-Meteo (Clear Lake coords),OM-CL,32.5,40.0,25.3,35.0,325.69,1.889,3.389,163.21,0.0,7.33,27.6857,28.9357,37.1571,2.3056,2.0019,1394.41,341.7986,343.9479,0.0,0.0,50.52,50.8571,2
2024-07-24,Open-Meteo (Clear Lake coords),OM-CL,30.4,38.1,24.4,41.0,329.63,1.972,4.222,170.38,0.0,7.14,28.6429,28.8429,37.8714,2.2699,2.0296,1372.81,339.3843,342.245,0.0,0.0,51.0,48.5714,3
2024-07-25,Open-Meteo (Clear Lake coords),OM-CL,28.0,36.4,20.9,46.0,342.82,2.528,4.472,218.42,0.0,7.46,28.8286,28.5143,37.8857,2.2937,2.1051,1387.24,338.21,341.4264,0.0,0.0,51.06,47.5714,3
2024-07-26,Open-Meteo (Clear Lake coords),OM-CL,26.8,36.3,18.3,47.0,342.36,2.111,4.389,182.39,0.0,7.06,28.6571,28.0214,37.6857,2.2183,2.1527,1341.62,337.3329,340.8229,0.0,0.0,50.37,47.4286,3
2024-07-27,Open-Meteo (Clear Lake coords),OM-CL,22.8,30.9,15.0,57.0,336.57,1.75,3.75,151.2,0.0,5.9,28.0714,27.3643,36.8571,2.0674,2.1626,1250.38,336.9514,342.0871,0.0,0.0,48.97,47.7143,4
