date,bloom_report_id,case_id,advisory_level,advisory_rank,advisory_active,advisory_detail,bloom_size,bloom_texture,bloom_location,lat,lon,lab_data_linked,has_pictures,county
2022-05-18,3235,859,,0,1,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,,,,39.026872,-122.88674,NO,No,Lake
2022-05-23,3395,859,,0,0,,,,,39.0104385,-122.77475,NO,No,Lake
2022-05-24,3385,859,None,0,0,,,,,39.0884593,-122.79434,NO,No,Lake
2022-06-06,3471,859,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.981029,-122.68986,NO,No,Lake
2022-07-04,3515,859,,0,0,,smaller than a sedan,,,39.027586,-122.77447,NO,No,Lake
2022-12-19,4041,1260,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.01929,-122.67514,YES,No,Lake
2022-12-19,4042,1260,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.925467,-122.61659,NO,No,Lake
2022-12-19,4043,1260,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.983,-122.717,NO,No,Lake
2022-12-19,4045,1260,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.0127,-122.699,NO,No,Lake
2022-12-19,4046,1260,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,39.042359,-122.91287,NO,No,Lake
2022-12-19,4047,1260,,0,1,Advisory based on visual and toxins; Updates from routine monitoring program-organization,,,,38.948472,-122.63778,NO,No,Lake
2023-02-24,4062,1260,,0,1,Updates from routine monitoring program-organization,,,,39.00958,-122.75073,NO,No,Lake
2023-02-24,4063,1260,,0,1,Updates from routine monitoring program-organization,,,,39.0268,-122.8869,NO,No,Lake
2023-02-24,4064,1260,,0,1,Updates from routine monitoring program-organization,,,,39.0094,-122.67383,NO,No,Lake
2023-02-24,4065,1260,,0,1,Updates from routine monitoring program-organization,,,,38.948653,-122.66004,NO,No,Lake
2023-02-24,4066,1260,,0,1,Updates from routine monitoring program-organization,,,,39.121278,-122.85554,NO,No,Lake
2023-02-24,4067,1260,,0,1,Updates from routine monitoring program-organization,,,,39.118142,-122.88643,NO,No,Lake
2023-05-15,4141,1260,,0,1,Updates from routine monitoring program-organization,,,,38.959853,-122.64988,NO,No,Lake
2023-06-12,4158,1317,,0,0,Under investigation,,,,39.045194,-122.91276,NO,Yes,Lake
2023-06-25,4177,1317,,0,0,Under investigation,between a tennis court and a sedan,Green discoloration; Spilled paint; Streaking; Surface scum,10-50 feet from shore,39.026192,-122.85365,NO,No,Lake
2023-06-25,4181,1317,General awareness,1,0,Under investigation,between a tennis court and a sedan,Green discoloration; Streaking,<10 feet from shore,39.083716,-122.90423,NO,No,Lake
2023-06-26,4184,1317,,0,0,,,,,38.965136,-122.65257,NO,No,Lake
2023-06-26,4187,1317,None,0,0,,between a tennis court and a sedan,Green discoloration; Spilled paint; Streaking; Surface scum,shoreline to >50 feet from shore,38.99404,-122.7464,NO,No,Lake
2023-06-27,4203,1317,None,0,0,,larger than a football field,Green discoloration; Surface scum,shoreline to >50 feet from shore,38.959599,-122.64991,NO,No,Lake
2023-07-10,4398,1317,,0,0,,,,,39.121291,-122.85533,NO,No,Lake
2023-07-17,4399,1317,,0,0,,,,,39.043131,-122.91303,NO,No,Lake
2023-07-22,4288,1317,,0,0,,,,,38.979782,-122.73696,NO,No,Lake
2023-07-26,4289,1317,Caution,2,0,,larger than a football field,Other,shoreline to >50 feet from shore,38.96921,-122.65255,NO,No,Lake
2023-08-11,4334,1317,,0,0,,,,,39.017789,-122.81489,NO,No,Lake
2023-09-10,4410,1317,,0,0,,,,,39.003642,-122.66645,NO,No,Lake
2024-04-02,4443,1317,,0,1,Suspected illness reported,,,,39.043122,-122.91371,NO,No,Lake
2024-04-29,4457,1317,,0,0,,,,,39.066199,-122.84582,NO,No,Lake
2024-05-29,4517,1317,,0,0,,,,,38.92549,-122.6176,NO,No,Lake
2024-06-07,4515,1317,,0,0,,,,,39.019351,-122.67467,NO,No,Lake
2024-07-02,4545,1317,,0,1,Visual monitoring only-present bloom,between a tennis court and a sedan,,shoreline to >50 feet from shore,39.085997,-122.90221,NO,No,Lake
2024-07-04,4564,1317,,0,1,Visual monitoring only-present bloom,between a football field and a tennis court,,10-50 feet from shore,39.000016,-122.69934,NO,No,Lake
2024-07-04,4583,1317,None,0,0,,larger than a football field,Floating mats; Green discoloration; Surface scum,<10 feet from shore,38.930722,-122.62536,NO,No,Lake
2024-07-07,4584,1317,None,0,0,,larger than a football field,Floating mats; Green discoloration; Surface scum; Visible spherical colonies,<10 feet from shore,38.961091,-122.65209,NO,No,Lake
2024-07-08,4574,1317,,0,1,"Suspected bloom, investigation ongoing; Suspected illness reported",larger than a football field,Benthic mats; Floating mats,shoreline to >50 feet from shore,38.930877,-122.6269,NO,No,Lake
2024-07-08,4569,1317,None,0,0,,larger than a football field,Floating mats; Green discoloration; Surface scum,shoreline to >50 feet from shore,39.020523,-122.66781,NO,No,Lake
2024-07-10,4575,1317,Danger,4,0,,larger than a football field,Benthic mats; Floating mats,<10 feet from shore,39.0214597,-122.6623,NO,No,Lake
2024-07-13,4622,1317,None,0,0,,no bloom,Other,no bloom,38.98136,-122.73528,NO,No,Lake
2024-07-18,4615,1317,,0,0,,,,,39.07195,-122.91368,NO,No,Lake
2024-07-30,4632,1317,,0,0,,larger than a football field,Green discoloration,shoreline to >50 feet from shore,39.03894,-122.91365,NO,No,Lake
2024-08-02,4642,1317,None,0,0,,larger than a football field,Floating mats; Green discoloration; Streaking; Surface scum; Visible spherical colonies,shoreline to >50 feet from shore,39.018858,-122.66903,NO,No,Lake
2024-08-02,4643,1317,None,0,0,,larger than a football field,Floating mats; Grass clippings; Green discoloration,<10 feet from shore,39.019753,-122.6698,NO,No,Lake
2024-08-26,4677,1317,,0,0,,,,,39.03682,-122.9133,NO,No,Lake
2024-10-13,4731,1317,None,0,0,,no bloom,,no bloom,39.01848,-122.81112,NO,No,Lake
2025-06-10,4859,1317,,0,1,Suspected illness report closed,no bloom,Green discoloration,10-50 feet from shore,39.0110072,-122.77665,NO,No,Lake
2025-06-14,4862,1317,,0,1,Suspected illness report closed,smaller than a sedan,Green discoloration; Spilled paint; Streaking,shoreline to >50 feet from shore,38.975761,-122.74123,NO,No,Lake
2025-06-15,4864,1317,,0,1,Visual monitoring only-present bloom,,,,39.021693,-122.67152,NO,No,Lake
2025-06-26,4875,1317,,0,1,Suspected illness reported,,Green discoloration,,39.017986,-122.66123,NO,No,Lake
2025-07-24,4918,1317,,0,1,Under investigation,between a football field and a tennis court,Green discoloration; Other; Surface scum,shoreline to >50 feet from shore,38.967479,-122.71152,NO,No,Lake
2025-07-31,4934,1317,,0,1,Suspected illness reported,larger than a football field,Floating mats,10-50 feet from shore,38.946382,-122.66766,NO,No,Lake
2025-09-04,4997,1317,,0,0,Suspected illness reported,,,,38.94865,-122.66005,NO,No,Lake
2025-09-07,4998,1317,,0,0,Suspected illness reported,,,,39.01056,-122.80624,NO,No,Lake
